date,symbol,log_return_pred,log_return_actual,signal,strategy_return,position_change,transaction_cost,net_return,cumulative_return
2013-05-03,721001,0.0001832257,-0.02759500594588687,1,-0.02759500594588687,1.0,0.001,-0.028595005945886872,0.8147305100218019
2013-05-06,721001,-0.00042955918,-0.005194816877104023,0,-0.0,1.0,0.001,-0.001,0.8139157795117801
2013-05-07,721001,-0.0018051957,-0.00941922191649164,0,-0.0,0.0,0.0,-0.0,0.8139157795117801
2013-05-08,721001,-0.00054697413,-0.011634187281340653,0,-0.0,0.0,0.0,-0.0,0.8139157795117801
2013-05-09,721001,-0.0047238916,0.0,0,0.0,0.0,0.0,0.0,0.8139157795117801
2013-05-10,721001,-0.008253066,-0.010695289116747919,0,-0.0,0.0,0.0,-0.0,0.8139157795117801
2013-05-13,721001,-0.006087712,-0.02173998663640599,0,-0.0,0.0,0.0,-0.0,0.8139157795117801
2013-05-14,721001,-0.0037188276,0.008752791109594708,0,0.0,0.0,0.0,0.0,0.8139157795117801
2013-05-15,721001,-0.0005251715,-0.014262446920564253,0,-0.0,0.0,0.0,-0.0,0.8139157795117801
2013-05-16,721001,-0.0011849519,0.0055096558109694795,0,0.0,0.0,0.0,0.0,0.8139157795117801
2013-05-17,721001,-0.0019781734,-0.0044052934679162685,0,-0.0,0.0,0.0,-0.0,0.8139157795117801
2013-05-20,721001,-0.004748652,,0,,0.0,0.0,,
2013-05-21,721001,0.00012535053,,1,,1.0,0.001,,
2013-05-22,721001,0.0008214133,0.01092907053219023,1,0.01092907053219023,0.0,0.0,0.01092907053219023,0.822811122473327
2013-05-23,721001,0.0008933832,0.0,1,0.0,0.0,0.0,0.0,0.822811122473327
2013-05-24,721001,0.0033996084,0.010810916104215676,1,0.010810916104215676,0.0,0.0,0.010810916104215676,0.8317064644880016
2013-05-27,721001,0.0016382703,0.003220614700042157,1,0.003220614700042157,0.0,0.0,0.003220614700042157,0.8343850705536517
2013-05-28,721001,0.005149521,0.02852808361453803,1,0.02852808361453803,0.0,0.0,0.02852808361453803,0.8581884776131286
2013-05-29,721001,0.0017950182,0.028749413285986007,1,0.028749413285986007,0.0,0.0,0.028749413285986007,0.8828608928332995
2013-05-30,721001,-0.0023688928,-0.018386626250439426,0,-0.0,1.0,0.001,-0.001,0.8819780319404662
2013-05-31,721001,-0.0027133776,0.0,0,0.0,0.0,0.0,0.0,0.8819780319404662
2013-06-03,721001,-0.003186598,-0.010362787035546547,0,-0.0,0.0,0.0,-0.0,0.8819780319404662
2013-06-04,721001,-0.00038362638,-0.010471299867295366,0,-0.0,0.0,0.0,-0.0,0.8819780319404662
2013-06-05,721001,-0.001210198,-0.004219415542708099,0,-0.0,0.0,0.0,-0.0,0.8819780319404662
2013-06-06,721001,-0.00079500384,-0.002116402906377724,0,-0.0,0.0,0.0,-0.0,0.8819780319404662
2013-06-07,721001,-0.00061075186,-0.0010598835120431353,0,-0.0,0.0,0.0,-0.0,0.8819780319404662
2013-06-10,721001,-0.0010831354,0.0073957019611289926,0,0.0,0.0,0.0,0.0,0.8819780319404662
2013-06-11,721001,-0.0008902526,0.008385793376273964,0,0.0,0.0,0.0,0.0,0.8819780319404662
2013-06-12,721001,7.092097e-05,-0.00838579337627407,1,-0.00838579337627407,1.0,0.001,-0.00938579337627407,0.8736999683702601
2013-06-13,721001,0.0008859937,-0.00951884500920687,1,-0.00951884500920687,0.0,0.0,-0.00951884500920687,0.8653833537867947
2013-06-14,721001,-0.0008004973,0.0021231430480777515,0,0.0,1.0,0.001,-0.001,0.8645179704330078
2013-06-17,721001,0.00016255018,-0.013881696486155748,1,-0.013881696486155748,1.0,0.001,-0.014881696486155747,0.8516524763901964
2013-06-18,721001,-0.0031152943,0.019169916107720123,0,0.0,1.0,0.001,-0.001,0.8508008239138062
2013-06-19,721001,0.0014183904,-0.0299808322119359,1,-0.0299808322119359,1.0,0.001,-0.0309808322119359,0.8244423063423557
2013-06-20,721001,-0.0007893568,-0.0010875476873988823,0,-0.0,1.0,0.001,-0.001,0.8236178640360133
2013-06-21,721001,-9.455821e-05,-0.00984152284479132,0,-0.0,0.0,0.0,-0.0,0.8236178640360133
2013-06-24,721001,-0.0011203323,,0,,0.0,0.0,,
2013-06-25,721001,-0.0017656406,,0,,0.0,0.0,,
2013-06-26,721001,-0.002808858,-0.007498696091120396,0,-0.0,0.0,0.0,-0.0,0.8236178640360133
2013-06-27,721001,0.00091114285,-0.02173998663640599,1,-0.02173998663640599,1.0,0.001,-0.02273998663640599,0.8048888048143291
2013-06-28,721001,-0.0008406814,0.01092907053219023,0,0.0,1.0,0.001,-0.001,0.8040839160095148
2013-07-01,721001,-0.0026598314,-0.0010875476873988823,0,-0.0,0.0,0.0,-0.0,0.8040839160095148
2013-07-02,721001,-0.0012795278,-0.0010887317351965606,0,-0.0,0.0,0.0,-0.0,0.8040839160095148
2013-07-03,721001,-0.003540245,,0,,0.0,0.0,,
2013-07-04,721001,0.00030492106,,1,,1.0,0.001,,
2013-07-05,721001,-0.0011192875,0.0054794657646255705,0,0.0,1.0,0.001,-0.001,0.8032798320935053
2013-07-08,721001,0.0006761332,-0.016529301951210582,1,-0.016529301951210582,1.0,0.001,-0.017529301951210583,0.7891988973654205
2013-07-09,721001,-9.379436e-05,-0.008928630744301431,0,-0.0,1.0,0.001,-0.001,0.7884096984680551
2013-07-10,721001,-5.5364842e-05,0.008928630744301398,0,0.0,0.0,0.0,0.0,0.7884096984680551
2013-07-11,721001,0.000104469436,0.0,1,0.0,1.0,0.001,-0.001,0.787621288769587
2013-07-12,721001,0.00015347605,0.0,1,0.0,0.0,0.0,0.0,0.787621288769587
2013-07-15,721001,-0.0022631986,,0,,1.0,0.001,,
2013-07-16,721001,0.00030598158,,1,,1.0,0.001,,
2013-07-17,721001,0.00023169449,0.001120448296489728,1,0.001120448296489728,0.0,0.0,0.001120448296489728,0.788503777700868
2013-07-18,721001,-0.0009541082,0.007808182447811709,0,0.0,1.0,0.001,-0.001,0.7877152739231671
2013-07-19,721001,-0.00054294063,0.0,0,0.0,0.0,0.0,0.0,0.7877152739231671
2013-07-22,721001,-0.0017494985,,0,,0.0,0.0,,
2013-07-23,721001,-0.0027842203,,0,,0.0,0.0,,
2013-07-24,721001,-0.0016714684,-0.013245226750020567,0,-0.0,0.0,0.0,-0.0,0.7877152739231671
2013-07-26,721001,-0.0050654365,-0.01005033585350145,0,-0.0,0.0,0.0,-0.0,0.7877152739231671
2013-07-29,721001,-0.0074429507,-0.002247191956904721,0,-0.0,0.0,0.0,-0.0,0.7877152739231671
2013-07-30,721001,0.0026684443,-0.0331648462663513,1,-0.0331648462663513,1.0,0.001,-0.0341648462663513,0.7608031026879253
2013-07-31,721001,0.0021907387,0.0023228814161397287,1,0.0023228814161397287,0.0,0.0,0.0023228814161397287,0.7625703580765005
2013-08-01,721001,0.00010055376,0.0011594204197349384,1,0.0011594204197349384,0.0,0.0,0.0011594204197349384,0.763454497721139
2013-08-02,721001,0.00047062137,0.0,1,0.0,0.0,0.0,0.0,0.763454497721139
2013-08-05,721001,7.009814e-05,-0.003482301835874664,1,-0.003482301835874664,0.0,0.0,-0.003482301835874664,0.760795918722118
2013-08-06,721001,0.00016739866,-0.008172841755874358,1,-0.008172841755874358,0.0,0.0,-0.008172841755874358,0.7545780540698871
2013-08-07,721001,-0.0017863649,0.019733664156950274,0,0.0,1.0,0.001,-0.001,0.7538234760158172
2013-08-12,721001,-0.0009176178,0.0034423441909729197,0,0.0,0.0,0.0,0.0,0.7538234760158172
2013-08-14,721001,-0.0006438206,-0.004592430574210262,0,-0.0,0.0,0.0,-0.0,0.7538234760158172
2013-08-15,721001,-0.0005893662,-0.005770356461336255,0,-0.0,0.0,0.0,-0.0,0.7538234760158172
2013-08-16,721001,-0.0007962891,0.0,0,0.0,0.0,0.0,0.0,0.7538234760158172
2013-08-19,721001,-0.004230708,,0,,0.0,0.0,,
2013-08-20,721001,-0.00059316336,,0,,0.0,0.0,,
2013-08-21,721001,0.00019148887,-0.001156738127823644,1,-0.001156738127823644,1.0,0.001,-0.002156738127823644,0.7521976761834454
2013-08-22,721001,-0.0005046389,0.010362787035546658,0,0.0,1.0,0.001,-0.001,0.751445478507262
2013-08-23,721001,-0.0041340394,,0,,0.0,0.0,,
2013-08-26,721001,-0.005882544,,0,,0.0,0.0,,
2013-08-27,721001,-0.0007366138,,0,,0.0,0.0,,
2013-08-28,721001,0.00011655641,-0.00920604890772285,1,-0.00920604890772285,1.0,0.001,-0.01020604890772285,0.7437761892021296
2013-08-29,721001,-0.004557993,,0,,1.0,0.001,,
2013-08-30,721001,-0.00024148525,,0,,0.0,0.0,,
2013-09-02,721001,-0.00092286477,0.0,0,0.0,0.0,0.0,0.0,0.7437761892021296
2013-09-03,721001,0.0050702468,-0.02830377616285182,1,-0.02830377616285182,1.0,0.001,-0.029303776162851822,0.7219807382384915
2013-09-04,721001,-0.006139494,0.028303776162851724,0,0.0,1.0,0.001,-0.001,0.721258757500253
2013-09-05,721001,-0.0033987293,,0,,0.0,0.0,,
2013-09-06,721001,-0.0014029236,,0,,0.0,0.0,,
2013-09-09,721001,-0.0011223704,-0.0163364193196935,0,-0.0,0.0,0.0,-0.0,0.721258757500253
2013-09-10,721001,-0.0022694077,-0.003535654832307644,0,-0.0,0.0,0.0,-0.0,0.721258757500253
2013-09-11,721001,-0.000769191,0.002358491659292883,0,0.0,0.0,0.0,0.0,0.721258757500253
2013-09-12,721001,0.002962747,,1,,1.0,0.001,,
2013-09-13,721001,-0.0011599335,,0,,1.0,0.001,,
2013-09-16,721001,0.0020476964,-0.0276293851435287,1,-0.0276293851435287,1.0,0.001,-0.0286293851435287,0.7006095627436353
