SEANCE;CODE_INDICE;LIB_INDICE;INDICE_JOUR    ;INDICE_VEILLE;VARIATION_VEILLE;INDICE_PLUS_HAUT;INDICE_PLUS_BAS
13/01/2025   ;905001    ;TUNINDEX          ;9928.474            ;9924.488            ;0.040               ;9928.474            ;9852.655            
13/01/2025   ;905002    ;STES FINANCIERES  ;7447.346            ;7443.805            ;0.048               ;7458.757            ;7422.694            
13/01/2025   ;905003    ;BANQUES           ;6897.725            ;6894.584            ;0.046               ;6921.034            ;6882.489            
13/01/2025   ;905004    ;ASSURANCES        ;15269.455           ;15185.951           ;0.550               ;15269.455           ;15014.196           
13/01/2025   ;905005    ;SERVICES FINANCIER;12595.984           ;12651.747           ;-0.441              ;12651.747           ;12379.626           
13/01/2025   ;905008    ;SERVICES AUX CONSO;3178.658            ;3172.414            ;0.197               ;3178.658            ;3132.261            
13/01/2025   ;905009    ;DISTRIBUTION      ;5007.962            ;4998.125            ;0.197               ;5007.962            ;4934.863            
13/01/2025   ;905013    ;BIENS CONSOMMATION;8060.302            ;8085.775            ;-0.315              ;8085.775            ;7913.264            
13/01/2025   ;905015    ;AGROALIMENT BOISSO;9887.067            ;9922.834            ;-0.360              ;9922.834            ;9640.095            
13/01/2025   ;905016    ;PROD MENAGER SOIN ;2597.785            ;2602.210            ;-0.170              ;2631.609            ;2597.785            
13/01/2025   ;905017    ;INDUSTRIES        ;1830.421            ;1820.601            ;0.539               ;1830.421            ;1796.376            
13/01/2025   ;905018    ;BATIM MATE CONSTRU;825.988             ;814.281             ;1.438               ;825.988             ;790.141             
13/01/2025   ;905020    ;MATERIAUX DE BASE ;5150.591            ;5125.842            ;0.483               ;5150.591            ;5047.171            
13/01/2025   ;905028    ;TUNINDEX20        ;4368.255            ;4368.714            ;-0.010              ;4368.714            ;4334.940            
14/01/2025   ;905001    ;TUNINDEX          ;9989.030            ;9928.474            ;0.610               ;9989.030            ;9852.655            
14/01/2025   ;905002    ;STES FINANCIERES  ;7482.223            ;7447.346            ;0.468               ;7482.223            ;7422.694            
14/01/2025   ;905003    ;BANQUES           ;6934.565            ;6897.725            ;0.534               ;6934.565            ;6882.489            
14/01/2025   ;905004    ;ASSURANCES        ;15269.455           ;15269.455           ;0.000               ;15269.455           ;15014.196           
14/01/2025   ;905005    ;SERVICES FINANCIER;12581.992           ;12595.984           ;-0.111              ;12651.747           ;12379.626           
14/01/2025   ;905008    ;SERVICES AUX CONSO;3216.518            ;3178.658            ;1.191               ;3216.518            ;3132.261            
14/01/2025   ;905009    ;DISTRIBUTION      ;5067.610            ;5007.962            ;1.191               ;5067.610            ;4934.863            
14/01/2025   ;905013    ;BIENS CONSOMMATION;8094.996            ;8060.302            ;0.430               ;8094.996            ;7913.264            
14/01/2025   ;905015    ;AGROALIMENT BOISSO;9944.525            ;9887.067            ;0.581               ;9944.525            ;9640.095            
14/01/2025   ;905016    ;PROD MENAGER SOIN ;2596.492            ;2597.785            ;-0.050              ;2631.609            ;2596.492            
14/01/2025   ;905017    ;INDUSTRIES        ;1858.420            ;1830.421            ;1.530               ;1858.420            ;1796.376            
14/01/2025   ;905018    ;BATIM MATE CONSTRU;838.631             ;825.988             ;1.531               ;838.631             ;790.141             
14/01/2025   ;905020    ;MATERIAUX DE BASE ;5178.648            ;5150.591            ;0.545               ;5178.648            ;5047.171            
14/01/2025   ;905028    ;TUNINDEX20        ;4395.583            ;4368.255            ;0.626               ;4395.583            ;4334.940            
15/01/2025   ;905001    ;TUNINDEX          ;10099.588           ;9989.030            ;1.107               ;10099.588           ;9852.655            
15/01/2025   ;905002    ;STES FINANCIERES  ;7579.927            ;7482.223            ;1.306               ;7579.927            ;7422.694            
15/01/2025   ;905003    ;BANQUES           ;7039.394            ;6934.565            ;1.512               ;7039.394            ;6882.489            
15/01/2025   ;905004    ;ASSURANCES        ;15081.446           ;15269.455           ;-1.231              ;15269.455           ;15014.196           
15/01/2025   ;905005    ;SERVICES FINANCIER;12656.992           ;12581.992           ;0.596               ;12656.992           ;12379.626           
15/01/2025   ;905008    ;SERVICES AUX CONSO;3200.918            ;3216.518            ;-0.485              ;3216.518            ;3132.261            
15/01/2025   ;905009    ;DISTRIBUTION      ;5043.033            ;5067.610            ;-0.485              ;5067.610            ;4934.863            
15/01/2025   ;905013    ;BIENS CONSOMMATION;8226.722            ;8094.996            ;1.627               ;8226.722            ;7913.264            
15/01/2025   ;905015    ;AGROALIMENT BOISSO;10136.788           ;9944.525            ;1.933               ;10136.788           ;9640.095            
15/01/2025   ;905016    ;PROD MENAGER SOIN ;2613.260            ;2596.492            ;0.646               ;2631.609            ;2596.492            
15/01/2025   ;905017    ;INDUSTRIES        ;1848.466            ;1858.420            ;-0.536              ;1858.420            ;1796.376            
15/01/2025   ;905018    ;BATIM MATE CONSTRU;832.508             ;838.631             ;-0.730              ;838.631             ;790.141             
15/01/2025   ;905020    ;MATERIAUX DE BASE ;5247.252            ;5178.648            ;1.325               ;5247.252            ;5047.171            
15/01/2025   ;905028    ;TUNINDEX20        ;4452.424            ;4395.583            ;1.293               ;4452.424            ;4334.940            
16/01/2025   ;905001    ;TUNINDEX          ;10061.437           ;10099.588           ;-0.378              ;10099.588           ;9852.655            
16/01/2025   ;905002    ;STES FINANCIERES  ;7537.985            ;7579.927            ;-0.553              ;7579.927            ;7422.694            
16/01/2025   ;905003    ;BANQUES           ;6998.778            ;7039.394            ;-0.577              ;7039.394            ;6882.489            
